"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"TIMM8B",634.150333051017,1.85316464518456,0.570994104773784,3.24550574111224,0.00117242200432657,0.0249922782219995,"Up"
"GHRL",110.019334576322,3.10956906546811,0.993838362362213,3.12884789240486,0.00175493128750313,0.0316170685184031,"Up"
"GAPDHP68",14353.9873615487,1.81534325747209,0.27982819108693,6.48734943545466,8.73595680617027e-11,8.1317197937435e-08,"Up"
"FKBP4P2",109.628532133147,2.03337411816702,0.671980611719687,3.02594164579146,0.00247860133186277,0.0414460731690227,"Up"
"LYSET",382.186236803858,2.4559782288391,0.742471539137535,3.30784157961394,0.000940179778346883,0.0212104841619011,"Up"
"DNASE1",627.737093819095,2.21141618824932,0.75012529399798,2.94806241829685,0.0031977249193229,0.0487958843563344,"Up"
"MRPS21P1",1880.33009370356,1.53532487582364,0.458164491616958,3.35103418950071,0.000805103616680086,0.0192982991380184,"Up"
"HOTAIRM1",960.682627168146,5.16049611708549,1.10139343133383,4.68542481757488,2.79379840715452e-06,0.000410614844840999,"Up"
"RPS27P26",7617.90893250014,2.57001946676562,0.877044833737633,2.93031709201589,0.00338616274480588,0.0498989945375747,"Up"
"RARRES2P1",50.651099586598,2.23390912044645,0.687587895854138,3.24890698907873,0.00115849351476379,0.0248931885753115,"Up"
"LNROP",354.815585106895,4.06137050419693,0.787957218013757,5.1543033192013,2.54575594046917e-07,7.10902346376015e-05,"Up"
"RNASEH1-DT",72.8515948740425,2.17085729227395,0.51578246435651,4.20886215079512,2.5665990487852e-05,0.00172704285391149,"Up"
"LINC02812",218.540458752619,2.77966709762336,0.620718519324676,4.47814429743059,7.52947016808565e-06,0.000750930194442113,"Up"
"NAPA-AS1",103.948834492596,2.28307512211217,0.628570089213051,3.63217270642086,0.000281044916891482,0.00951294461114503,"Up"
"E2F5",276.715032687712,4.11769156149909,1.03521995918681,3.97760062966102,6.96141650598304e-05,0.00377470982387527,"Up"
"DDX19A-DT",59.4943006809672,2.27471310711136,0.575601084543303,3.9518916280642,7.75358545012029e-05,0.00399926766593662,"Up"
"FBLN2",329.790658234316,2.16968524343596,0.561328110137711,3.86527096051482,0.000110965939018453,0.00504920447900941,"Up"
"SUN2",557.644322084001,3.08433134361847,0.870401206212397,3.54357429838605,0.000394742066709749,0.0119169429328322,"Up"
"WASH3P",108.085396437999,4.12145188705072,1.15021914668417,3.58318838538897,0.000339425628965499,0.0107657975451534,"Up"
"A1BG-AS1",101.267895994899,2.6364108871115,0.826886237250545,3.18835985936561,0.00143082347195095,0.0281308204824203,"Up"
"PHB1P12",139.941068257076,1.74988112652111,0.489123582789364,3.57758486422168,0.000346783645309072,0.0108808239272538,"Up"
"PA2G4P6",469.467995979306,1.46678755211702,0.435073657282108,3.37135454552683,0.000747995260949733,0.0182194468117851,"Up"
"SLF2",814.480695805394,2.02942028579684,0.663152330720698,3.06026261506359,0.0022114298988869,0.0376549877600102,"Up"
"BHLHE40-AS1",44.9116836560814,1.9868699909312,0.632625992198653,3.1406708156678,0.00168561377868636,0.0311726919005407,"Up"
"GSTM5",181.559239157544,2.02361858013319,0.689278650010611,2.93584979035987,0.00332635351282337,0.0495404916509827,"Up"
"CDH2-AS1",67.0832839784703,1.89335349316943,0.633899252037474,2.98683661020868,0.00281880329945417,0.0446373090181563,"Up"
"NBDY",906.143263159275,2.54110842017512,0.779872357702177,3.25836451962763,0.00112056367432834,0.024351549109431,"Up"
"COX11",341.791339859529,2.7780286096479,0.711459095085042,3.90469196168732,9.43454793781664e-05,0.00454240950281948,"Up"
"RIDAP1",87.2122790388575,1.48616038018326,0.485466000794852,3.06130682220788,0.00220373143631099,0.0376549877600102,"Up"
"CDH18",245.018254155385,2.33286387619437,0.477436014749148,4.8862335561763,1.02783262681369e-06,0.000197946386922567,"Up"
"CHKB-DT",244.781800116828,2.8679994728584,0.830221672107567,3.45449844205803,0.000551317401447284,0.0146004868914495,"Up"
"ALG1L5P",410.913348373795,2.21420849422342,0.40540627104225,5.46170262371859,4.71589574382273e-08,1.75588518195e-05,"Up"
"GRHPR",216.315523909893,1.95867912139475,0.6028899152641,3.24881719167045,0.00115885927118729,0.0248931885753115,"Up"
"TIMM8BP1",5133.21488247805,1.90892371298651,0.391891974916308,4.87104568393925,1.11009166750856e-06,0.00020070101626416,"Up"
"RANBP1",5668.25781732797,1.72658486248192,0.460346413007021,3.75062086658549,0.000176397249968115,0.00688936112637707,"Up"
"SLC15A3",752.410597101236,2.40099822290576,0.623119335922839,3.85319165124267,0.000116588061549032,0.00512712065945939,"Up"
"COX6B1P2",3595.47152220603,1.3960894982944,0.389769410850998,3.58183443704899,0.000341190002773886,0.0107657975451534,"Up"
"LINC00649",80.4980274426402,2.81050489832459,0.951035774400161,2.95520418261578,0.0031246218323575,0.0478109943389497,"Up"
"GAPDHP51",87.144150189314,1.76654424497296,0.505209929817552,3.49665384766075,0.000471132738649814,0.0131563817267961,"Up"
"RALBP1P1",56.5808355004762,1.43934893479537,0.448671522686413,3.20802382593238,0.00133650425798897,0.0270270249834258,"Up"
"LILRB1",2820.46008444024,5.92211820796035,1.18975812679085,4.97758164000456,6.43836287515596e-07,0.000133178728362022,"Up"
"MCCD1P2",53.9092265492698,2.98968698205748,0.883793383150752,3.38278950607114,0.000717536055694214,0.0177320304028858,"Up"
"NDUFB3P5",12261.2474529679,2.40874514407852,0.592249208754676,4.06711416152568,4.75989279534017e-05,0.00278071272687238,"Up"
"LILRP2",1273.16628098729,3.66222821159261,0.93399409026961,3.9210400255696,8.81676152003463e-05,0.00431943974468363,"Up"
"TRIM69",798.628294247865,3.65486459094035,0.550173419151399,6.64311372326512,3.07124682026535e-11,3.43058269823639e-08,"Up"
"PRDX3P2",932.167278709066,3.19337702253965,0.957985341037352,3.33342994484833,0.000857822710552572,0.020052406465451,"Up"
"ABHD17AP6",1221.70606919667,2.00746475209851,0.668778130668776,3.00169018698481,0.00268485268305204,0.0435596452732986,"Up"
"EARS2",63.3511381348897,1.62136869108194,0.484014857676408,3.34983248007218,0.000808604473846074,0.0192993845573945,"Up"
"GEMIN7P1",332.418257883144,2.40912993534737,0.759512375478331,3.17194296383931,0.00151422743134052,0.0289621924795781,"Up"
"ATP5PFP4",978.964705291173,1.2301371809018,0.390070959421094,3.15362410656629,0.00161256645605768,0.0303238506972463,"Up"
"MRPS21P2",12972.7646397845,1.40245682269962,0.439167950014523,3.1934407386815,0.00140588190458383,0.0277804459395573,"Up"
"PES1P2",868.696551441582,2.34585739335546,0.690269659352192,3.39846516730435,0.000677650916948105,0.0169716608571981,"Up"
"FIRRE",2039.60404529257,2.80994231108525,0.61501559636974,4.5688960209652,4.9029993324236e-06,0.000558841862685424,"Up"
