"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"5292","HNRNPA1L2",2592.388,80.64506,3955.3606,1633.7615,3898.175,596.65204,1142.5934,122.12657
"5293","PRR13",99101.85,7850.283,125312.86,54709.29,111937.15,37957.445,120226.45,4105.8755
"5294","MTND5P13",79.84699,13.8693495,79.63509,30.155626,74.28737,31.773022,117.1803,14.02654
"5295","RPS27P23",138231.14,13479.249,136462.73,64950.324,171562.23,39197.535,165386.47,48794.42
"5296","LINC03092",3057.0122,305.9224,4897.652,1847.8295,4232.243,1501.1418,5399.2036,620.4775
"5297","RPL13P6",858.43176,21.0121,937.39655,166.31041,1022.11993,115.39521,1924.9426,120.48129
"5298","HOOK2",83.92332,10.47424,123.51069,73.80267,512.35956,54.900707,125.35397,11.89339
"5299","DCAF13P1",1213.7137,15.925601,1281.2122,249.01086,1129.6453,114.653564,1546.6465,21.42703
"5300","LINC00847",24.69764,4.9999995,27.980692,44.62892,153.56857,26.07478,15.703457,4.9999995
"5301","SSX19P",75.74149,9.886365,91.66664,64.50739,164.88702,34.375645,138.47319,19.226461
"5302","MTATP6P26",83.05917,5.9148526,65.400986,26.743212,91.21487,26.509384,96.05439,15.366329
"5303","ZNF577",835.245,9.757545,2262.8281,231.32646,469.61935,150.27275,1048.592,12.78091
"5304","EEDP1",14475.01,185.669,10767.629,1389.1854,5687.7427,763.2655,13549.564,187.6797
"5305","IFITM3P5",181.07613,2246.0078,1248.6388,10832.188,250.25558,5014.0425,296.80826,8.029481
"5306","IGFBP7-AS1",39.447456,4.9999995,30.859041,16.30318,71.974144,16.617662,62.945103,7.4916277
"5307","DDTP1",4375.141,259.86127,3807.8203,1956.6743,4342.504,1131.4941,3198.071,206.56036
"5308","H2AZP1",3078.0806,98.88932,2182.8757,976.23694,3989.901,610.7029,4232.825,20.722752
"5309","KRT18P49",119.169014,16.18064,105.5971,47.27192,102.19119,32.96639,165.85287,24.96724
"5310","MTND1P27",78.538704,16.483952,68.45751,38.230267,112.7749,32.677273,148.10881,15.389628
"5311","LIPE-AS1",103.68569,17.016348,150.3499,48.50865,101.998886,74.69746,141.85986,16.287352
"5312","MIR9-2HG",2465.3655,726.23346,3945.521,1234.9443,16070.051,1096.5116,4044.436,402.05655
"5313","ARHGAP29-AS1",227.9453,21.24335,184.0674,129.0338,196.7972,78.520226,370.21948,22.790426
"5314","UBE2Q1-AS1",1229.0392,54.82085,1247.022,270.12372,1094.7719,189.27719,2917.888,106.36081
"5315","LINC01058",34.227985,4.9999995,58.071136,16.02702,40.93579,15.69389,68.01916,4.9999995
"5316","SIGLEC16",49857.406,13269.379,61786.69,40619.344,65736.54,28147.92,75314.68,24069.527
"5317","LINC03156",51.525455,4.9999995,63.070595,17.639177,79.28635,15.917278,83.62652,4.9999995
"5318","NPY6R",42.57212,11.58896,37.592434,33.22589,60.281677,29.740574,62.586792,11.240198
"5319","SNX5P1",455.86725,6.4220395,536.7749,195.65463,375.25543,77.33182,1108.3038,12.903471
"5320","LINC02817",65.96131,4.9999995,50.701824,23.898037,62.06018,17.59476,86.95289,5.7777195
"5321","OOEP",186.01187,9.159084,165.08186,65.02577,269.20407,38.376423,312.69254,24.274431
"5322","PSMD12P1",2357.0715,77.103905,3040.2673,1037.7761,3708.6907,736.7372,12570.953,139.75908
"5323","SUCLA2P2",32.037548,4.9999995,35.198605,27.708923,25.131907,10.323951,40.05997,4.9999995
"5324","CXXC4",169.03697,15.48212,150.73323,65.4049,191.86517,63.127968,317.46597,20.17835
"5325","RFKP2",50.368637,7.819306,58.894485,17.079433,82.07082,16.80822,109.575294,14.148639
"5326","CHEK2P3",4887.3965,97.63186,3411.5076,781.32574,2218.1128,595.9492,2480.173,21.04065
"5327","POLR1A",5001.08,169.70218,5140.7754,1524.9194,6904.8076,1211.5422,8110.1704,99.225365
"5328","TMED2-DT",36.018036,5.341901,77.49124,67.18041,1359.0289,39.66763,53.488808,8.855045
"5329","KIF25-AS1",40.82192,4.9999995,65.70588,59.79254,672.2001,30.698736,32.239136,4.9999995
"5330","OR6C69P",61.46216,4.9999995,33.12243,21.369814,50.723797,20.38639,55.17807,4.9999995
"5331","FAM20A",573.5477,68.072075,906.7716,217.78961,1290.907,188.05362,1409.0028,92.95283
"5332","KCNQ1DN",72.737045,4.9999995,55.104004,27.035954,74.86263,16.978012,114.01692,4.9999995
"5333","PFN1P9",1191.507,1131.9692,4739.468,3087.4587,1599.6709,1926.9822,1386.7109,110.604706
"5334","RPL36P20",296.1104,9.349359,333.06186,63.487785,493.97516,49.516308,487.0606,28.139004
"5335","SNRPGP10",34692.645,482.33853,30353.295,6255.8555,39125.723,3694.3694,53034.13,511.2678
"5336","RPL36AP14",94.71382,4.9999995,64.51313,33.29015,99.97841,28.252483,98.35116,4.9999995
"5337","IRX1P1",35.41077,4.9999995,31.122244,19.917309,464.95233,10.010451,22.485245,4.9999995
"5338","ID2",9638.044,729.6524,14136.179,5040.2954,10807.134,3917.1323,22136.73,1252.8314
"5339","GUCY2GP",61.979065,6.4507875,51.4668,26.409372,99.71717,23.32695,73.103386,4.9999995
"5340","ZBTB46-AS2",428.90732,29.886164,546.8102,239.40569,1208.1641,225.14053,1138.54,24.21109
"5341","MSH2",54.14199,5.40249,57.047062,41.851418,64.30036,22.412628,71.09688,9.026499
"5342","CYB5AP2",69.819954,8.621928,73.106964,51.166508,101.1655,29.550055,109.8127,17.09983
"5343","DNAJC7",81.46715,4.9999995,131.87039,65.91783,242.75786,17.578718,66.46496,4.9999995
"5344","RPL35AP10",2683.3103,46.263718,1971.2705,492.43076,3410.2583,238.03069,4122.877,160.5256
"5345","GLRX",12634.209,1622.9727,34789.88,20010.43,53445.363,13375.25,11709.705,102.0002
"5346","EEF1GP2",14946.028,554.9701,9765.899,4100.264,31740.74,2658.0156,22907.674,1077.0078
"5347","OR2AM1P",106.199715,14.82079,116.48723,59.595657,249.382,51.225563,152.37566,23.206024
"5348","ENOX1-AS2",2605.9546,82.88703,2858.1038,561.0786,2761.2168,404.59204,6366.2393,191.02109
"5349","MTX2",94.53224,4.9999995,249.65373,57.192924,417.12836,19.812527,554.7229,4.9999995
"5350","LMBRD2",2732.6992,61.288837,3610.8599,698.1616,4036.4849,274.82462,2457.5115,21.148165
