"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"1492","MLLT10P2",1827.5731,10.647909,688.4677,64.339836,106.36299,53.422413,1331.0802,29.507942
"1493","RPL6P8",49784.03,2294.934,31492.412,13716.118,50467.73,9341.799,57444.69,3457.2637
"1494","PHF1",1593.2672,239.82956,2568.599,725.9148,4586.341,566.73224,3401.4463,270.05338
"1495","H2BP7",42.35913,4.9999995,72.500656,36.75614,236.41248,22.443302,65.40509,4.9999995
"1496","LINC02123",116.922295,6.91155,95.468124,41.26614,103.69988,31.152016,167.05956,8.616342
"1497","COX7BP2",11166.09,978.4852,3560.4666,7362.6685,10333.996,5097.0737,9443.418,660.5745
"1498","GRHPR",494.3508,21.675201,766.76294,383.3731,894.84106,134.94691,295.85315,8.758092
"1499","KLF13",26.216476,9.855479,264.44177,75.31686,323.04562,9.746891,51.941742,4.9999995
"1500","MIR22HG",51.58453,7.7652,105.291176,231.72177,565.4659,170.79822,157.15016,4.9999995
"1501","GAS6-AS1",4206.5244,239.937,5733.8506,882.81415,5207.16,817.70624,11114.115,458.69083
"1502","RALBP1P2",436.19757,21.011433,513.2836,236.47797,786.9133,118.32968,364.90845,6.399511
"1503","FENDRR",35.699314,4.9999995,30.004557,26.061064,34.847195,8.053816,57.697224,4.9999995
"1504","RPL13P2",279591.75,43140.785,303158.94,152182.67,437001.28,130270.234,401796.66,118835.03
"1505","ADGRL3",36.27786,5.704899,39.442226,27.760963,29.31932,5.0853357,60.832916,8.208735
"1506","ANKRD20A4P",316.85754,19.439602,268.9044,67.00334,288.23383,72.34004,930.93243,29.741438
"1507","RPL36P11",944.1845,41.8542,964.17346,217.63354,879.9447,205.63844,1403.9404,134.47864
"1508","LINC02037",41.21945,4.9999995,39.145454,20.349716,32.304565,13.30056,57.37167,4.9999995
"1509","RN7SKP109",41.36944,8.19686,50.241093,36.152298,48.517952,13.289502,58.13468,10.568609
"1510","RPAP3-DT",16021.43,1497.4371,17761.04,5940.88,21042.148,5187.251,25568.422,1866.6957
"1511","RPH3AL-AS1",55.40805,5.7214775,48.083485,28.17775,48.109715,22.446781,66.352356,4.9999995
"1512","LINC00886",83.52409,14.567978,216.54434,88.03055,445.4807,14.71263,111.62368,4.9999995
"1513","HNRNPRP1",3728.4834,138.87103,2042.2463,3502.0986,7155.393,1105.9458,7676.3267,220.74197
"1514","MORF4L2-AS1",117.416405,6.658901,222.05064,38.04712,182.23238,31.187054,172.2173,4.9999995
"1515","RBM7",1182.503,71.15944,4451.257,1363.6112,4664.0063,891.9508,16136.934,215.15247
"1516","RRAGC-DT",149.6292,12.044911,148.86287,108.92198,297.60593,70.45142,195.77773,10.044321
"1517","DENND4C",2459.3135,65.21095,1161.169,1211.7161,2556.0464,434.2981,1988.7988,19.23943
"1518","DCTN1-AS1",179.39996,17.095829,153.56659,84.23506,275.7332,70.17907,227.70328,23.09225
"1519","MYB-AS1",72.215416,4.9999995,64.49741,35.359474,97.74351,29.19728,83.09767,7.056267
"1520","PSMC3P1",1673.358,66.52762,2661.5093,849.72437,3720.5408,470.74728,1885.2684,9.668634
"1521","MTCO2P34",53.997772,4.9999995,36.418346,12.814959,65.020935,27.617811,94.94978,13.9328
"1522","EIF3FP3",131192.66,9547.803,113589.38,52716.484,173418.95,41906.047,163142.27,10534.965
"1523","LINC02145",60.17641,7.6670246,38.685658,13.481169,31.891035,20.608671,66.08261,4.9999995
"1524","OR10J2P",77.57778,5.3937883,73.00666,35.943188,116.603096,24.837984,108.8058,12.40031
"1525","LRRC34P2",4285.3887,12.524059,244.05899,33.67274,7902.145,70.827415,1465.3395,5.3669467
"1526","LINC01935",69.89326,5.6629295,75.42597,33.18626,88.81043,28.047749,106.31719,4.9999995
"1527","RN7SKP191",71.21668,10.42179,58.848274,21.866482,64.80313,12.753631,85.948166,19.577528
"1528","SERPINB9P1",98.87043,16.562231,373.29523,69.26051,258.43344,38.674587,753.12054,19.793652
"1529","CCDC13",65.24704,12.96771,130.86891,79.223526,672.97327,64.42419,82.42447,10.142712
"1530","LCN1",122.32185,6.245575,86.48075,60.156624,244.53029,24.824959,83.3232,9.467272
"1531","CLDN6",873.8918,153.81438,1088.6162,417.18463,3353.2087,329.51157,1171.686,118.36771
"1532","S100A7P1",81.81226,7.6246,86.303085,61.842743,84.198654,44.10578,114.56209,10.46827
"1533","LINC02716",40.12623,4.9999995,52.043766,49.66907,60.05332,24.780151,90.96729,11.747792
"1534","ZKSCAN3",91.352325,4.9999995,134.33574,46.50487,97.861786,18.593319,51.71511,4.9999995
"1535","SNRPF",34166.508,972.42664,33337.17,10085.236,39242.05,6426.9287,32605.514,797.8658
"1536","CASC22",191.12074,27.261538,188.24759,112.85011,251.45216,70.74604,253.27812,25.121485
"1537","LINC00994",39.84921,8.62029,32.745594,24.823236,72.11218,21.620737,35.231197,6.9827776
"1538","TFAP2A-AS1",59.077847,10.966419,70.02288,45.617126,184.86298,36.68176,83.4428,4.9999995
"1539","NEU3",275.17273,20.13942,312.5024,135.74348,250.81064,51.582638,361.53836,5.8013086
"1540","HOXA-AS3",85.83337,13.290178,71.0872,54.1997,122.249626,36.859283,91.64998,30.295206
"1541","C1S",642.35016,4.9999995,983.01306,95.63778,740.0416,48.98177,745.1384,19.891087
"1542","TUBA4B",91.0085,13.12728,60.586807,33.33528,117.48119,16.148487,496.98743,28.47839
"1543","AGGF1P1",32.119835,4.9999995,52.110294,53.08396,107.71011,17.26395,43.882607,4.9999995
"1544","PCAT6",505.28723,76.59327,369.25555,190.9418,1494.032,255.68747,1007.17523,73.43409
"1545","LINC00671",73.08814,10.768609,74.447334,43.596466,353.7249,33.153435,70.30974,4.9999995
"1546","LINC02916",199.07845,30.515461,598.1199,268.82904,973.8753,345.8887,802.20447,12.619652
"1547","UBAC2",44.58668,4.9999995,41.82176,19.19212,49.47567,14.591778,58.825676,5.3009324
"1548","DTX2P1",1056.1399,27.01589,1855.0907,490.76434,2075.1873,184.47107,1086.377,12.105331
"1549","CACNB2-AS2",38.855656,4.9999995,56.19223,25.50568,69.21218,10.5381,62.610107,4.9999995
"1550","USP3-AS1",169.09106,9.190229,226.5106,72.70508,184.30244,33.040455,627.6579,16.526022
"1551","KRT18P42",63.972233,13.91631,64.621346,36.47576,92.41179,28.725084,87.84145,21.53141
"1552","PRAMENP",232.54533,56.30067,364.60703,352.25745,5830.802,244.281,193.11636,125.077225
"1553","NEAT1",312.01218,15.934333,491.71027,930.38116,843.12494,897.15155,303.4788,6.981137
"1554","PSMD14-DT",62.241173,8.858503,78.294014,50.205986,66.27617,33.252598,109.2355,25.44773
"1555","MTCO1P17",676.7728,101.407295,974.29254,435.00604,2434.9038,277.147,1053.8448,68.8141
"1556","LINC-PINT",66.38355,14.29215,132.56229,127.57949,3015.377,96.87586,65.16922,10.275189
"1557","RPLP1P13",4662.61,212.26645,5758.8604,1861.4735,15980.8545,1096.5449,10361.72,419.52808
"1558","NAB1",373.8894,8.97563,265.1323,278.17688,363.24997,157.7186,408.04044,4.9999995
"1559","C10orf143",80.59928,7.432131,117.69678,27.779129,101.4869,26.587337,626.1085,7.3098946
"1560","ATMINP1",3573.7185,160.17036,3778.9683,1557.6815,3473.682,864.0686,7555.504,195.05473
"1561","NPM1P8",65089.023,871.37384,54915.562,15661.644,113159.2,7154.376,93934.11,600.7228
"1562","LINC01597",212.9699,20.852898,190.24622,82.38969,442.00095,63.128784,341.49326,22.624882
"1563","DNAJB5P1",91.514915,16.598362,96.03316,41.653004,145.39969,37.333694,168.86688,17.026361
"1564","VESTAR",535.29486,182.39833,851.1484,307.3504,774.7559,284.53644,652.3535,153.49773
"1565","MTCO1P31",108.27629,61.362698,176.671,117.6813,206.07913,93.565605,158.18715,21.57821
"1566","PARLP1",170.35689,24.471222,244.32445,130.66103,427.38522,107.58029,182.33636,12.28162
"1567","GTF3C2-AS2",52.430992,10.04027,202.26534,88.595764,100.91069,36.72116,81.15741,4.9999995
"1568","TIMM8BP1",11389.887,1191.47,10415.855,7220.7935,15640.848,6070.3823,4939.4478,199.30096
"1569","TCP11L1",3347.6077,238.0133,1773.4315,1001.34265,2474.157,822.15173,2895.8364,56.618015
"1570","KLHDC4",1014.5664,42.05678,1058.0315,548.56757,909.81335,303.8409,561.5053,10.262131
"1571","HMGB3P5",98.1874,10.498371,67.62427,147.9449,538.2217,75.045586,878.18286,39.635822
"1572","ENHO-AS1",104.87849,12.925412,154.86256,92.63723,1394.4277,55.995132,47.82433,11.18783
"1573","VWA5B1-AS1",121.14879,15.068442,139.13649,49.412525,124.5128,47.61286,142.76173,20.25818
"1574","RANBP1",13854.968,621.7959,19884.24,6163.674,28470.03,3572.724,9756.93,326.6238
"1575","SIAH2-AS1",23.341341,9.586807,44.57625,19.12855,59.557297,17.07428,40.1568,4.9999995
"1576","ITGB5-AS1",32.18068,4.9999995,16.47448,9.48829,35.500923,4.9999995,31.048176,23.15287
"1577","FBXO38-DT",101.60612,10.8268795,118.67851,29.185509,168.25566,39.221462,256.79865,23.411728
"1578","SUMO2P17",112.167,8.332991,119.921715,57.295906,232.10457,32.748344,169.204,8.781288
"1579","RPS4XP10",89309.47,2664.9722,64313.484,18725.3,125994.96,7521.4287,126141.3,8263.302
"1580","RPL7P8",105.9874,4.9999995,98.1727,42.592785,177.33272,23.578695,157.60349,7.317953
"1581","UXT-AS1",16.77106,4.9999995,25.691996,29.939611,125.726746,32.631004,24.56529,4.9999995
"1582","RPS15P9",7710.14,665.6901,17909.164,4406.977,15987.4375,2794.288,18571.68,1365.8024
"1583","FTL",68.23798,25.74332,112.79231,147.94373,91.5085,138.76848,150.55165,6.9285316
"1584","OR51A9P",285.66043,81.22764,348.82822,198.29251,365.1734,151.63136,450.3311,45.74648
"1585","NACC2",15.128788,38.956547,112.06843,327.8228,72.39414,161.94432,51.57398,19.801123
"1586","TLCD3B",224.1905,20.075937,227.0313,85.02279,233.84265,66.665146,411.50436,25.82871
"1587","PHF2P2",55.307014,7.2855873,60.460842,47.725243,282.00128,31.663595,57.298386,6.553049
"1588","LINC01857",3228.313,21.776018,35276.75,1502.9877,60431.086,396.71103,74242.44,902.48645
"1589","VN1R64P",45.732494,6.2575006,60.971424,35.51442,54.66727,20.83405,94.03872,14.659929
"1590","SLC15A3",630.963,179.6206,2307.2048,1049.8856,3242.3748,849.3757,538.2708,22.031427
"1591","SNHG9",45429.72,1164.3425,52079.48,14650.596,81645.26,14219.036,93831.836,17719.654
"1592","CEACAMP3",39.787064,22.251564,774.67554,143.27162,447.58026,106.57632,276.55847,29.080332
"1593","LYRM2",533.44385,71.06112,502.5195,344.04138,1067.1656,250.43349,609.0109,56.390938
"1594","FKBP1C",198.3561,26.146114,407.84332,394.91116,205.27493,187.31778,114.30062,13.897938
"1595","LINC02208",78.277405,8.333668,74.286705,31.817505,85.89561,32.861572,82.99875,13.66869
"1596","MTND4P23",87.02197,19.144001,76.31216,42.821594,161.69641,29.331718,128.22849,13.747062
"1597","RAD51-AS1",34.047974,12.1134,180.97375,78.297874,96.73914,23.753439,80.17383,4.9999995
"1598","RPS5P3",588.88354,11.278059,602.5335,72.34853,1324.5156,32.15982,582.06354,18.85815
"1599","GGA3",88.38492,12.49941,72.09781,48.244602,227.21281,27.55997,99.554886,8.583903
"1600","ATP13A4-AS1",84.6004,13.137298,99.66438,39.547924,92.586205,33.07392,152.78522,14.228668
"1601","MTND5P31",36.859005,4.9999995,45.346092,25.143555,40.857635,10.73308,69.42523,4.9999995
"1602","LINC03138",59.570763,10.64104,53.368355,121.544525,127.00432,45.456596,103.212074,4.9999995
"1603","TPMTP1",141.16145,21.461128,98.432106,324.67566,128.7034,121.374596,197.40298,9.582979
"1604","PDIA3",1575.7765,223.0023,3846.2832,4330.2324,2705.1057,1737.963,4365.7603,89.05077
"1605","LINC00278",106.903175,4.9999995,101.89897,50.823227,606.76746,54.142277,103.23002,4.9999995
"1606","LINC00431",247.78438,22.2304,261.61865,141.53104,4567.311,105.74302,360.23987,35.870934
"1607","TEX21P",157.0972,4.9999995,148.07709,23.9057,89.89453,16.228119,203.99608,4.9999995
"1608","MELTF-AS1",28.324366,4.9999995,33.639946,22.285545,50.992546,21.842148,36.494656,6.9698133
"1609","PPIHP2",709.51,42.012547,952.827,394.49396,644.5807,106.41799,683.5353,56.276558
"1610","FTX",557.4644,44.379097,405.40616,147.65723,493.5055,116.61686,1031.5099,55.706627
"1611","RANP5",523.71686,19.387781,585.3951,248.62393,892.7165,120.19552,641.36285,11.553711
"1612","COX6B1P2",8919.455,958.5075,8428.463,4155.1704,10055.839,3160.9563,3795.6367,315.18155
"1613","PCGF3",803.0104,22.581858,971.4378,269.66394,774.42773,123.12608,2877.6548,18.805307
"1614","COX4I1P1",4703.5005,379.2868,4268.821,2433.1064,5338.763,1848.1971,8891.927,1076.1688
"1615","IL17RA",3925.9875,2298.8164,2218.0513,10719.825,1385.1077,12243.587,1483.4851,54.74151
"1616","PTPRN2-AS3",404.4479,39.160053,425.00406,169.3231,625.4756,115.1172,732.4581,42.839954
"1617","PARM1-AS1",2891.7275,298.01422,2492.709,1010.9426,2949.8625,679.27423,4362.166,631.7422
"1618","CASTOR3P",108.63059,16.777637,90.782936,86.4516,137.2246,47.313404,113.73471,4.9999995
"1619","GLUD2",198.09305,10.2566,595.78107,251.29655,463.22455,57.460403,837.1498,11.49403
"1620","LINC01870",35.29684,5.9056196,32.929504,8.110668,23.995787,16.41423,44.956684,4.9999995
"1621","LINC02629",235.91924,49.844612,202.89224,368.13248,216.9836,132.2066,218.63216,34.025497
"1622","RAB27A",274.52267,83.978645,1135.0128,770.555,417.08618,307.48514,471.6749,4.9999995
"1623","SRRM2-AS1",65.85768,17.142254,76.34298,39.648636,98.364395,24.364569,97.74073,7.4577355
"1624","RPL35AP16",3743.954,35.0012,2475.4429,451.9549,6098.7744,207.36612,7813.706,136.82094
"1625","KRTAP19-10P",142.14906,10.037531,141.68489,76.280174,171.3062,49.34246,197.12263,23.581097
"1626","LDHBP2",74115.53,1269.8009,36764.945,16851.389,88962.305,8817.194,43640.316,1351.0177
"1627","TOLLIP-DT",6794.565,40.6602,163.52008,112.65253,3859.8054,117.985115,1420.0532,41.412857
"1628","C20orf203",147.2144,20.81519,137.0163,84.522705,395.41113,66.462036,186.02766,14.975841
"1629","SLC9A3-OT1",128.02742,4.9999995,158.44978,55.677467,161.83003,33.574932,126.55646,6.669228
"1630","VOPP2P",432.99866,4.9999995,537.69147,114.37568,657.66925,34.85733,280.63556,8.046273
"1631","LINC01748",41.753033,6.88662,40.060318,31.351952,41.185925,11.838471,52.913975,5.767064
"1632","CHMP6",137.61388,23.527403,126.238625,72.981255,118.815094,49.238197,160.44069,19.334322
"1633","IL9RP1",30.204893,6.2627125,41.57068,19.023762,42.061245,23.775188,55.76917,6.347803
"1634","MTCYBP11",175.2677,17.733942,134.09969,54.26437,204.79305,48.998573,237.25842,11.580549
"1635","ADAM1A",362.58066,6.9660745,305.23035,94.9898,479.109,35.59607,219.58156,4.9999995
"1636","RPL7AP64",195.82516,22.97678,182.09401,134.98532,559.0291,82.89528,206.57628,12.910921
"1637","BANK1",158665.72,96.594376,173040.84,5635.1914,172905.9,1003.57983,266946.25,805.27966
"1638","FAM174A-DT",82.25171,4.9999995,23.588556,26.295498,30.458378,6.80062,39.22919,4.9999995
"1639","AK4P6",26.329346,4.9999995,71.3316,42.542515,56.38995,4.9999995,30.824587,4.9999995
"1640","GRK6P1",370.02106,30.024734,596.882,251.76877,627.6546,118.92651,691.0032,11.7914915
"1641","PRSS23",79.68812,14.65834,106.06417,39.564373,101.21319,32.043636,132.87698,10.847481
"1642","ZNF56P",6777.81,112.28533,5421.5137,1708.9183,10473.077,1166.0109,21366.193,331.7542
"1643","BRAFP1",234.07896,34.29922,330.65317,158.4492,340.79285,113.582794,456.73624,39.333538
"1644","TAB2",13136.154,459.70374,9283.869,11146.046,17923.943,4416.011,14609.436,276.0664
"1645","PCED1B-AS1",4363.631,71.06495,5464.1484,762.0939,3225.5144,190.41908,2457.9111,81.20407
"1646","CREBZF",259.4941,11.24822,861.4554,334.2279,772.7591,307.18182,1305.2048,18.09569
"1647","CHCHD4P2",470.56714,20.705881,423.99554,236.88326,575.80115,99.77361,2346.5452,37.930386
"1648","ZNF280D",130.64151,5.234009,272.61932,106.03848,152.96367,66.06014,161.22797,4.9999995
"1649","PAICSP4",125.65708,37.5955,273.8334,82.15108,310.54138,35.834557,236.40817,34.374794
"1650","BCAT2",262.4761,11.811369,349.00882,75.47034,485.27155,74.0381,354.1807,27.094547
"1651","RPS14P8",155114.42,11201.969,191540.36,75779.516,241959.98,49984.457,218206.47,14849.95
"1652","RPL27AP4",184.51997,4.9999995,151.5474,62.53983,338.99112,40.33911,233.34898,15.499341
"1653","MIR3681HG",364.0483,4.9999995,275.1449,118.188576,945.1168,36.0115,513.21173,4.9999995
"1654","LINC02045",43.397984,8.083893,48.20222,22.617039,45.24088,12.25492,65.843315,9.371157
"1655","TRAPPC13",1795.6831,32.16342,2530.521,425.2249,2142.1335,217.77586,10546.406,99.72699
"1656","UBA1",74.716095,16.415451,101.48871,59.043198,188.38084,38.501934,141.00995,17.039198
"1657","CRNDE",31.440125,4.9999995,57.236057,42.060493,179.7483,23.078648,49.066364,4.9999995
"1658","RPL30P9",211.44438,4.9999995,294.30322,49.589745,271.50195,28.187157,354.20645,11.286559
"1659","ZFHX3-AS1",102.96883,4.9999995,57.049534,22.548676,67.77506,17.402113,110.32048,4.9999995
"1660","AKAP9",270.92917,27.007141,810.8815,292.77206,485.80273,241.24516,593.7873,37.24903
"1661","HNRNPLL-AS1",143.74913,20.615177,117.93907,77.080284,265.92706,68.22574,137.5549,30.317545
"1662","LINC01638",34.927715,4.9999995,41.42266,31.362076,581.4163,26.376982,18.722322,4.9999995
"1663","SEPTIN7P2",18185.648,199.13959,7994.237,1735.6714,6660.9463,1254.2682,27288.488,349.8008
"1664","PAIP1P2",9056.891,102.17481,8600.38,2350.2893,5656.6064,1400.9006,16608.062,104.053276
"1665","CROCCP3",51.090595,4.9999995,50.73961,49.29001,262.51028,36.12302,48.208275,6.2097197
"1666","CCT6P1",251.47794,5.7296505,388.23907,114.2209,479.9985,57.223972,544.01025,12.742669
"1667","OFD1P6Y",105.70888,6.395188,101.19797,47.69243,97.91812,46.72584,150.08308,19.82439
"1668","RNF32-AS1",194.26863,5.4643507,321.84903,29.618835,126.55968,23.798601,1067.9221,9.847182
"1669","LINC01035",164.57422,15.850631,94.76261,54.268353,89.96863,24.963139,145.28741,12.88262
"1670","LINC00649",32.34357,9.283344,145.75906,47.34937,1183.9657,28.588787,65.69634,4.9999995
"1671","ZNF876P",124.17982,18.502779,135.3595,70.22501,160.38698,56.403072,216.4265,15.181089
"1672","IGLVI-70",88.31866,7.0070405,75.868675,17.895859,61.466038,17.245836,270.87366,8.404251
"1673","RPL23AP69",164.75372,4.9999995,243.96922,35.317913,176.40564,25.420897,196.00842,5.4487624
"1674","PACRG-AS3",57.45951,7.1672597,49.609158,20.254028,61.932564,21.283852,58.100967,14.381532
"1675","REREP1Y",86.15346,35.236145,73.944534,1142.715,96.405464,587.51874,173.03645,5.490296
"1676","MED28",46.284397,4.9999995,62.168743,28.89179,82.37871,20.43048,320.46442,4.9999995
"1677","LSP1",1367.9366,168.2487,3377.4255,1237.3164,2138.1794,787.4904,953.2119,4.9999995
"1678","SFR1",251.33467,4.9999995,162.9729,133.34268,332.81757,51.424904,368.98593,4.9999995
"1679","ARPC3P5",70493.83,5842.573,87223.65,40243.117,96314.52,18114.262,72630.26,1461.7184
"1680","RPL24P7",198954.55,15505.569,208532.44,89718.82,238028.84,66372.64,281277.2,51499.89
"1681","RIMS2",120143.83,7431.953,122007.49,60045.395,188441.34,25592.113,182266.14,15597.803
"1682","GPR155-DT",96.17479,11.85879,154.25452,76.592964,248.23096,57.75137,142.75163,18.109314
"1683","LINC01503",89.048454,15.246889,79.60775,100.44589,250.11626,96.842766,68.02545,4.9999995
"1684","INHBA-AS1",83.76539,4.9999995,82.67193,43.177395,103.48209,21.107292,123.81973,5.4261513
"1685","B3GAT3P1",41.001587,8.668761,44.979618,21.509361,128.29568,30.92591,141.23502,4.9999995
"1686","LINC02278",147.34311,27.350353,135.5598,60.499622,182.70628,53.702835,229.84344,28.387066
"1687","MIR1302-9HG",181.61778,13.827471,121.3061,70.52761,297.25122,61.138794,189.14955,29.879082
"1688","UBA6-DT",8387.982,146.03157,10476.615,2530.9158,16910.898,1502.8943,43857.242,364.17636
"1689","LINC02576",127.422554,35.805763,167.69154,74.753494,148.15678,63.718246,216.09142,34.832787
"1690","ADCY10P1",61.42457,11.30036,76.277405,32.835083,156.14268,24.621214,297.57523,7.0843983
"1691","AEBP2",22.011383,13.3387,29.48007,7.5761876,32.17212,11.42852,70.265686,15.316438
"1692","MIR222HG",37.52051,4.9999995,32.37571,10.212609,52.85238,17.855217,39.10702,8.442375
"1693","RPL5P18",155777.61,2691.1653,121067.67,36250.633,178865.66,17352.066,187180.23,1745.1086
"1694","LINC01781",334.04105,4.9999995,118583.445,4107.6265,167005.81,1215.2938,124283.15,796.8859
"1695","FAM66D",51.697334,4.9999995,71.141914,53.961555,247.60852,47.9397,69.25319,9.263691
"1696","TBC1D5",94.48145,36.826454,115.39651,83.651146,215.87518,69.60063,132.71622,11.604471
"1697","LINC02556",100.68311,4.9999995,58.19922,40.930244,76.44683,35.99909,221.53984,21.877731
"1698","LINC01682",62.907707,17.87535,83.176094,30.762125,68.90908,18.818459,167.1117,20.224188
"1699","RPS10P13",61473.363,1315.6533,74314.81,20590.768,94773.75,6670.2476,93396.06,2415.9019
"1700","STARD13-AS",57.76395,6.335485,71.8119,31.943855,45.393883,31.54837,89.10451,4.9999995
"1701","LPAL2",23.594934,5.312767,28.865274,60.208183,28.537657,18.182453,35.117065,5.0054555
"1702","NXT1",1491.778,145.54599,6856.119,2401.7542,3625.7969,1716.0977,11753.746,305.70386
"1703","RPL15P11",148207.94,2765.5718,89798.92,35784.746,163943.12,18196.902,211430.66,798.4229
"1704","CBY1P1",49.939365,4.9999995,20.644913,20.356718,47.825848,6.4247994,38.320793,4.9999995
"1705","LINC00520",105.68062,8.324352,101.197,38.695774,84.67157,26.069351,132.1157,9.640615
"1706","NANPP2",62.615326,5.2849283,55.070103,25.511591,81.34045,14.074518,87.205124,12.922719
"1707","NTM-AS1",80.29239,8.399264,80.320045,42.130787,79.20261,26.764309,117.49078,10.589779
"1708","SLC60A2P1",68.09352,8.822857,77.25048,33.673153,49.79207,19.91787,95.94454,5.18504
"1709","CD69",105.36289,7.2353806,334.36426,40.611805,510.09402,25.884687,610.2953,6.968087
"1710","LINC01762",355.20438,17.972086,340.22876,80.05935,355.23703,51.32954,864.8829,19.39189
"1711","LINC01096",53.38425,18.721529,82.25019,48.742702,1351.4214,30.665443,28.993813,18.759562
"1712","RFC5P1",124.72558,4.9999995,92.05533,40.299587,145.93298,42.45183,181.27602,13.073982
"1713","TAF4B",3848.4756,1790.108,4172.53,3152.1155,4127.2397,3003.57,4143.401,1264.0751
"1714","VN1R12P",163.5144,16.24505,111.0025,88.080025,163.23955,65.06479,162.01108,24.226284
"1715","EWSAT1",4002.7107,70.766365,316.48285,161.15999,3955.2327,178.89081,1035.2971,75.60178
"1716","NRIR",61.209927,13.62487,173.03514,319.67926,58.358345,133.24562,171.16115,18.569853
"1717","OR2R1P",31.885101,4.9999995,42.61606,29.329275,64.42578,21.101398,47.38057,4.9999995
"1718","DRG1P1",1955.945,74.93588,3294.0332,1193.813,7187.04,186.61201,2277.3015,43.925156
"1719","SPACA6",230.5607,9.417542,88.47365,48.766068,290.1006,47.11869,142.77989,11.793372
"1720","LIMK2",2459.4844,396.096,5190.9766,2155.7563,14698.068,1690.0004,4078.619,556.3523
"1721","LINC02977",146.56119,31.96461,211.24872,243.28928,153.38321,115.05128,160.61015,4.9999995
"1722","ZDHHC20P4",57.551163,13.635229,74.698494,40.05526,98.30742,30.96054,91.02648,7.161794
"1723","NHP2P2",2681.562,186.37021,5313.3857,1519.7992,9381.931,802.39484,2978.7573,54.494644
"1724","RPL31P35",168338.3,8117.857,148031.5,68291.11,273895.28,46542.246,264532.66,20173.834
"1725","PIEZO1P1",944.97253,733.45917,6178.702,2648.0334,3341.0176,2100.703,2786.6257,154.07439
"1726","FEM1AP3",104.225784,23.17155,116.67372,55.751625,229.87048,41.814476,157.7978,13.384379
"1727","TIMM23B-AGAP6",361.37326,4.9999995,853.80817,178.62334,901.67365,70.30476,1579.7052,15.681261
"1728","MATN1-AS1",5010.2656,1326.1663,5574.541,2420.6912,9529.17,2367.6372,6460.451,1400.1443
"1729","LINC00881",192.44408,23.602087,162.5942,101.561325,251.20886,66.08008,209.7899,26.178473
"1730","NONOP2",2115.1707,97.24845,5980.728,1430.7117,3111.5945,675.5066,3273.3796,124.88361
"1731","GAPDHP51",95.84423,27.027323,150.0926,215.30684,195.58305,79.021194,48.79533,4.9999995
"1732","FAR1P1",106.69509,11.489799,163.74268,190.75566,419.57495,200.30621,708.2402,7.1754537
"1733","IQCC-AS1",122.980804,7.457175,85.11113,17.174023,98.267296,21.685448,105.17522,5.2895064
"1734","RPL7AP48",7855.521,91.12974,5590.3535,970.6233,14228.138,689.3197,15163.2295,339.74265
"1735","UBE2Q2P5Y",185.62973,8.673385,173.41777,103.49806,201.0544,36.89023,335.80334,18.02724
"1736","RALBP1P1",159.29509,6.461649,166.39542,75.01084,230.61261,42.525375,89.52387,4.9999995
"1737","GSTA11P",203.08942,44.66403,275.54733,107.86469,254.1268,90.48945,359.29456,37.144344
"1738","LINC00863",158.2553,10.562639,124.582535,116.357704,261.36713,89.211655,172.67482,6.1400805
"1739","AZGP1P1",60.742302,4.9999995,93.45925,102.27479,490.6722,40.29283,101.9176,8.993745
"1740","TRBV27",75.17942,17.46104,63.428825,42.42155,80.55257,24.608343,132.14531,7.0649176
"1741","ZFP91",761.45685,155.9667,1717.8274,1532.9006,1803.3508,1022.4991,2193.8757,1889.789
"1742","LINC00534",546.3622,81.01306,990.2583,467.7657,11006.727,306.98065,448.5746,76.875984
"1743","LINC02021",529.9601,11.54557,331.2789,100.12811,705.3947,57.738888,621.26263,22.72002
"1744","UBE2Q2P9",131.8969,6.4847856,68.8389,62.61305,378.87183,26.301966,162.0663,4.9999995
"1745","LILRB1",43.738472,908.0799,3845.9272,5115.7437,11567.393,4704.6978,97.799736,5.084996
"1746","PPP1R35-AS1",408.53354,7.397351,377.3474,87.44223,380.81653,123.69493,3664.8625,261.53946
"1747","SLC11A2",21.192884,4.9999995,22.827192,19.56445,238.63338,17.063171,17.215363,4.9999995
"1748","HMGXB4",197.86166,13.47701,570.4359,137.84326,598.7073,88.911224,258.74405,9.998093
"1749","ELMO1-AS1",56.058743,4.9999995,42.708138,26.471796,63.6201,21.977602,69.08659,5.77716
"1750","FRG1-DT",111.147995,11.504701,113.08788,118.4549,1267.7285,59.546707,103.00712,12.459492
"1751","PIK3IP1-DT",125.61049,5.9054747,450.91968,111.38122,2311.3599,160.22348,961.53204,15.72125
"1752","FAF1-AS1",107.892685,25.432241,127.93787,59.072067,124.07089,32.442123,167.1281,28.563826
"1753","BPY2B",36.247417,5.3624325,43.55526,19.70958,36.025227,12.243639,46.940445,4.9999995
"1754","LINC02500",29.018835,4.9999995,15.833009,18.415442,28.32781,4.9999995,27.57805,4.9999995
"1755","AHCTF1P1",7475.1387,142.51016,8219.148,1595.7505,5328.0913,1107.641,21560,380.66928
"1756","SRP9",99831.945,2184.8015,109625.195,31079.19,123792.83,15703.743,138297.12,2697.0762
"1757","MUC19",52.71562,7.619131,68.04742,30.513535,46.95753,13.67353,84.2923,7.4672775
