"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"TENT5A",83.4592476278744,-2.01574796273796,0.564949057817579,-3.56801721295878,0.00035969287992043,0.0111382413394714,"Down"
"LINC03036",55.3225778769912,-1.3028894052872,0.438003431194721,-2.97461004297013,0.0029336121399581,0.04576598827281,"Down"
"FTH1P21",2852.14509998482,-2.33451399459384,0.527520345129273,-4.42544826213621,9.62422220657536e-06,0.000895854683728723,"Down"
"FAM30A",132.16984296685,-1.27146314454856,0.394802829574455,-3.22050160055599,0.00127966478121937,0.0263724273177498,"Down"
"F11R",157.884746575919,-3.25817783675898,0.766742737272601,-4.24937554459104,2.14367270197835e-05,0.00151549519500622,"Down"
"RPL12P44",129.949457703967,-1.918691142225,0.639346911493793,-3.0010173002042,0.00269079276979194,0.0435596452732986,"Down"
"RNU6-854P",1844.41331213049,-4.31086289624105,0.967042875190228,-4.4577784572303,8.28134243531309e-06,0.000811426271951291,"Down"
"CXorf65",288.036935115819,-2.23057050920589,0.645726354534601,-3.45435879075053,0.00055160299625709,0.0146004868914495,"Down"
"TRIM80P",48.9069000557868,-1.41230524794209,0.481806545586062,-2.93127036334506,0.00337578843466642,0.0498989945375747,"Down"
"IGF2R",154.355977528178,-1.73246584991233,0.414392051653122,-4.18074102290586,2.90560642921238e-05,0.00191681440126237,"Down"
"ALG1L2",100.462337284979,-2.41494760916661,0.767491422791176,-3.14654670717238,0.00165210871856737,0.0308596227197283,"Down"
"CABP7-DT",95.8680311573197,-1.4742479703869,0.489815734481739,-3.00980116930454,0.00261418761282998,0.0428159466793415,"Down"
"FTH1P8",7285.82283004607,-2.15336643197297,0.444214467770907,-4.84758284163658,1.24974850665982e-06,0.000211510466960458,"Down"
"RNU6-164P",366.952835976894,-3.34753720040491,1.05922052395287,-3.1603779616282,0.00157564596663616,0.0299319140260645,"Down"
"CSDE1",522.162877408202,-2.38989895348187,0.756570587527893,-3.15885786849169,0.00158388714808734,0.0299640846623078,"Down"
"BZW1",6741.25478607929,-2.73989759713417,0.638187648204274,-4.29324761274159,1.76078448073388e-05,0.0013111975099865,"Down"
"APIP",116.07144322868,-2.24938191045506,0.440548026654624,-5.10587217365635,3.29272227291604e-07,8.75707328296957e-05,"Down"
"MDM4",103.893189442709,-1.95201917434888,0.456182261315588,-4.27903349139318,1.87706619961977e-05,0.00135584492959628,"Down"
"TACC1",145.22292120053,-2.65392910428036,0.428599667056591,-6.19209324754315,5.9370409066724e-10,4.73691049482362e-07,"Down"
"EFHD2-AS1",114.142259146514,-2.05232501998099,0.559513188566984,-3.66805476960673,0.00024440283753297,0.00863917625076987,"Down"
"FAM87B",50.5477027718114,-1.68837254856114,0.473319612769967,-3.56708765707049,0.000360970757823513,0.0111382413394714,"Down"
