ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A047128,456.63452,86.85356,429.70844,297.75763,470.6474,180.06577,618.8153,98.68678,AK095187
ASHG19A3A044622,2078.684,40.139534,3164.316,1585.4224,5715.021,100.172005,3672.674,26.012236,RP11-464O2.5
ASHG19A3A052039,560.83093,17.73274,244.29715,57.690018,120.85252,104.42861,403.67892,113.64971,AC073657.1
ASHG19A3A052039,560.83093,17.73274,244.29715,57.690018,120.85252,104.42861,403.67892,113.64971,AC073657.1
ASHG19A3A048586,355436.4,14722.466,299804.53,100108.71,268458.22,97400.266,368753.72,33786.516,RP11-122C9.1
ASHG19A3A037021,24.670832,4.9999995,14.81899,20.24611,36.369137,6.629985,21.293098,4.9999995,AK298596
ASHG19A3L0001027,82.56857,6.2324057,37.204834,25.787458,173.38132,25.562849,100.35019,9.012429,lincRNA-IL1RL1
ASHG19A3A049260,258.3892,82.28945,402.12595,281.89,449.19684,211.68935,516.26044,59.35836,
ASHG19A3A012473,227491.94,6219.7017,181672.16,53615.85,358672.75,25006.043,305151.44,17083.615,RPSAP58
ASHG19A3A042866,6893.994,116.73536,7294.6714,1200.5302,6747.8267,1135.912,78268.88,1177.4424,RP11-386C23.1
ASHG19A3A031395,619.3072,67.96086,1146.0669,451.04788,861.7202,362.26465,622.57983,19.392113,RP11-140K17.2
ASHG19A3A025439,70188.62,1968.2758,114435.14,47635.836,90249.766,22505.213,127366.95,325.37738,RP11-333E13.1
ASHG19A3A025439,70188.62,1968.2758,114435.14,47635.836,90249.766,22505.213,127366.95,325.37738,RP11-333E13.1
ASHG19A3A031990,137.10799,56.03503,134.02737,74.171906,229.8932,61.249187,192.42525,45.507977,
ASHG19A3A015010,642.2729,20.928131,508.4253,40.32906,93.394806,134.14113,1261.1555,146.69688,BC038542
ASHG19A3A046109,28.396862,20.006498,28.627214,7.3587418,32.08974,6.1074996,40.485355,9.365178,OR5E1P
ASHG19A3A023035,224.37709,31.70473,237.4511,118.83249,257.77045,78.29647,297.34656,34.85636,
ASHG19A3L0002628,38.02978,9.150488,141.04749,370.33994,127.00747,305.65375,78.979546,21.567308,lincRNA-CHD2-2
